Random Seed: 1531837821
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
27, 110.953,8.35137,103.297,107.723,110.382,112.664,187.749
28, 228.922,14.6643,222.909,225.904,227.475,229.101,372.898

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 6.01927,5.2608,5.397,5.464,5.485,5.512,58.36
4, 8.08998,0.0808825,7.994,8.051,8.08,8.113,8.744
5, 10.9704,0.106849,10.81,10.911,10.948,11.001,11.668
6, 17.2393,0.614754,15.541,17.352,17.414,17.471,17.876
7, 23.751,0.257258,23.278,23.511,23.908,23.985,24.174
8, 35.1698,0.13573,34.927,35.092,35.15,35.204,36.006
9, 49.9436,0.137351,49.715,49.865,49.934,50.005,50.864
10, 73.8946,0.304255,73.564,73.693,73.766,73.931,75.335
11, 103.901,0.60564,103.5,103.683,103.77,103.856,107.836
12, 151.566,0.566621,151.122,151.348,151.44,151.548,155.116
13, 217.912,1.73672,217.05,217.581,217.673,217.791,234.723
14, 333.924,1.97686,332.89,333.422,333.57,333.781,351.758
15, 570.532,1.82143,569.578,569.91,570.097,570.431,584.998
16, 1185.86,2.02815,1183.88,1184.7,1185.14,1186.41,1195.23

Passed all 5 test cases with 1400 assertions.

############ QUnit -> QEngine -> OpenCL ############
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.04661,0.072041,0.038,0.039,0.039,0.039,0.763
4, 0.09216,0.126345,0.077,0.079,0.079,0.08,1.349
5, 0.09233,0.12924,0.077,0.079,0.079,0.08,1.378
6, 0.1381,0.187034,0.117,0.119,0.119,0.12,1.999
7, 0.13761,0.184575,0.116,0.118,0.119,0.12,1.974
8, 0.18444,0.249533,0.157,0.158,0.159,0.16,2.667
9, 0.18398,0.247355,0.156,0.158,0.159,0.16,2.645
10, 0.22967,0.30287,0.195,0.198,0.199,0.2,3.243
11, 0.213,0.308352,0.171,0.174,0.175,0.197,3.279
12, 0.2466,0.363574,0.202,0.209,0.21,0.21,3.864
13, 0.24704,0.364743,0.207,0.209,0.21,0.21,3.876
14, 0.28837,0.425912,0.242,0.244,0.245,0.245,4.526
15, 0.28852,0.423687,0.243,0.245,0.245,0.246,4.504
16, 0.32732,0.482769,0.261,0.279,0.28,0.281,5.13
17, 0.31361,0.482473,0.258,0.263,0.265,0.265,5.114
18, 0.35239,0.544299,0.294,0.296,0.297,0.298,5.768
19, 0.35211,0.541815,0.29,0.296,0.297,0.298,5.743
20, 0.39174,0.600953,0.326,0.329,0.33,0.332,6.371
21, 0.36833,0.60653,0.303,0.305,0.306,0.307,6.403
22, 0.40407,0.655796,0.333,0.336,0.337,0.338,6.929
23, 0.40485,0.665058,0.334,0.336,0.337,0.339,7.022
24, 0.42836,0.716136,0.326,0.327,0.354,0.369,7.541
25, 0.40121,0.719296,0.326,0.327,0.328,0.329,7.558
26, 0.43414,0.780513,0.353,0.354,0.354,0.355,8.2
27, 0.43469,0.772403,0.352,0.354,0.354,0.356,8.119
28, 0.44619,0.828748,0.358,0.361,0.362,0.363,8.692

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.0761,0.0183524,0.071,0.074,0.074,0.075,0.258
4, 0.10129,0.0202165,0.097,0.098,0.099,0.1,0.301
5, 0.12652,0.0224328,0.121,0.123,0.124,0.125,0.348
6, 0.15184,0.0272755,0.146,0.148,0.149,0.149,0.422
7, 0.17672,0.0265993,0.171,0.172,0.173,0.174,0.439
8, 0.20259,0.0291013,0.196,0.198,0.199,0.2,0.489
9, 0.22789,0.0307652,0.221,0.223,0.224,0.225,0.531
10, 0.25322,0.0333612,0.245,0.248,0.249,0.25,0.583
11, 0.27801,0.0352248,0.27,0.273,0.273,0.275,0.626
12, 0.30249,0.0383089,0.294,0.297,0.298,0.299,0.682
13, 0.32744,0.0400308,0.318,0.322,0.323,0.324,0.724
14, 0.35393,0.0433332,0.343,0.347,0.349,0.35,0.783
15, 0.37794,0.0448446,0.367,0.371,0.373,0.374,0.822
16, 0.40401,0.0476641,0.393,0.397,0.398,0.4,0.876
17, 0.42891,0.0490924,0.418,0.421,0.423,0.424,0.915
18, 0.45525,0.0525192,0.444,0.447,0.448,0.45,0.975
19, 0.47829,0.053141,0.467,0.47,0.472,0.474,1.005
20, 0.50453,0.0551357,0.492,0.496,0.498,0.5,1.051
21, 0.52791,0.0570146,0.515,0.519,0.521,0.523,1.093
22, 0.55242,0.0615235,0.539,0.543,0.545,0.547,1.162
23, 0.5745,0.0627002,0.563,0.566,0.566,0.568,1.196
24, 0.61185,0.0777057,0.589,0.601,0.603,0.605,1.382
25, 0.62935,0.0654122,0.616,0.619,0.621,0.624,1.277
26, 0.65302,0.0683564,0.639,0.643,0.645,0.647,1.331
27, 0.67522,0.0746289,0.661,0.664,0.666,0.668,1.415
28, 0.70573,0.0718893,0.692,0.695,0.697,0.699,1.419

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03147,0.0663129,0.024,0.024,0.025,0.025,0.691
4, 0.03155,0.0681891,0.023,0.024,0.025,0.025,0.71
5, 0.0314,0.0656928,0.024,0.024,0.025,0.025,0.685
6, 0.03153,0.0660053,0.024,0.024,0.025,0.025,0.688
7, 0.0319,0.0677928,0.024,0.024,0.025,0.025,0.706
8, 0.03134,0.0664023,0.024,0.024,0.025,0.025,0.692
9, 0.03178,0.0662923,0.024,0.025,0.025,0.025,0.691
10, 0.03145,0.0665907,0.024,0.024,0.025,0.025,0.694
11, 0.03156,0.0664044,0.024,0.024,0.025,0.025,0.692
12, 0.03181,0.0673832,0.024,0.025,0.025,0.025,0.702
13, 0.03167,0.0664901,0.024,0.025,0.025,0.025,0.693
14, 0.03174,0.0670006,0.024,0.024,0.025,0.025,0.698
15, 0.03171,0.0669662,0.024,0.025,0.025,0.025,0.698
16, 0.03173,0.0678909,0.024,0.024,0.025,0.025,0.707
17, 0.03162,0.0669981,0.024,0.024,0.025,0.025,0.698
18, 0.03173,0.066795,0.024,0.024,0.025,0.025,0.696
19, 0.03181,0.0687911,0.024,0.024,0.025,0.025,0.716
20, 0.03142,0.0666961,0.024,0.024,0.025,0.025,0.695
21, 0.03182,0.0673439,0.024,0.024,0.025,0.025,0.701
22, 0.03178,0.0685677,0.024,0.025,0.025,0.025,0.714
23, 0.0317,0.0674065,0.024,0.024,0.025,0.025,0.702
24, 0.03168,0.0671257,0.024,0.024,0.025,0.025,0.699
25, 0.03163,0.0688844,0.024,0.024,0.025,0.025,0.717
26, 0.03201,0.0711574,0.024,0.025,0.025,0.025,0.74
27, 0.03173,0.0691758,0.024,0.024,0.025,0.025,0.72
28, 0.03176,0.0698766,0.024,0.024,0.025,0.025,0.727

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.02604,0.0138845,0.023,0.024,0.024,0.025,0.16
4, 0.02561,0.0131961,0.023,0.024,0.024,0.024,0.156
5, 0.0259,0.0136202,0.021,0.024,0.024,0.024,0.156
6, 0.02547,0.0132102,0.023,0.024,0.024,0.024,0.156
7, 0.02558,0.0136222,0.023,0.024,0.024,0.025,0.161
8, 0.02548,0.0132298,0.023,0.024,0.024,0.024,0.157
9, 0.02573,0.0133453,0.023,0.024,0.024,0.024,0.157
10, 0.02542,0.0133328,0.023,0.024,0.024,0.024,0.158
11, 0.02568,0.0136308,0.023,0.024,0.024,0.024,0.157
12, 0.02558,0.0134262,0.023,0.024,0.024,0.025,0.159
13, 0.02597,0.016593,0.023,0.024,0.024,0.025,0.191
14, 0.0259,0.0136099,0.023,0.024,0.024,0.025,0.157
15, 0.02566,0.0133837,0.022,0.024,0.024,0.024,0.156
16, 0.02577,0.0133932,0.023,0.024,0.024,0.025,0.158
17, 0.02589,0.0138837,0.023,0.024,0.024,0.025,0.16
18, 0.02612,0.0140245,0.023,0.024,0.024,0.025,0.161
19, 0.02616,0.0138143,0.023,0.024,0.025,0.025,0.162
20, 0.02589,0.0138361,0.023,0.024,0.024,0.025,0.163
21, 0.02608,0.0141263,0.023,0.024,0.024,0.025,0.162
22, 0.02609,0.0142317,0.023,0.024,0.024,0.025,0.162
23, 0.02598,0.0141209,0.023,0.024,0.024,0.025,0.165
24, 0.0257,0.0137161,0.023,0.024,0.024,0.025,0.162
25, 0.026,0.014015,0.023,0.024,0.024,0.025,0.161
26, 0.02587,0.0141969,0.023,0.024,0.024,0.025,0.166
27, 0.02583,0.0137033,0.023,0.024,0.025,0.025,0.162
28, 0.02569,0.0137169,0.023,0.024,0.024,0.025,0.162

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 11.105,0.100101,10.921,11.048,11.098,11.157,11.702
4, 16.4244,0.129557,16.146,16.347,16.408,16.495,17.156
